threshold,accuracy,precision,recall,f1
0.7499999999999997,0.9790076335877863,0.987460815047022,0.9849906191369606,0.9862241703193487
0.7599999999999997,0.9790076335877863,0.987460815047022,0.9849906191369606,0.9862241703193487
0.7699999999999997,0.978530534351145,0.9874529485570891,0.9843652282676673,0.9859066708424679
0.7799999999999997,0.9780534351145038,0.9874450721908349,0.983739837398374,0.9855889724310777
0.7899999999999996,0.9770992366412213,0.9874292897548711,0.9824890556597874,0.9849529780564263
0.7999999999999996,0.9751908396946565,0.98801261829653,0.9793621013133208,0.9836683417085427
0.8099999999999996,0.9742366412213741,0.9879974731522426,0.9781113195747342,0.983029541169076
0.8199999999999996,0.9742366412213741,0.9879974731522426,0.9781113195747342,0.983029541169076
0.8299999999999996,0.9713740458015268,0.9879518072289156,0.9743589743589743,0.9811083123425692
0.8399999999999996,0.9694656488549618,0.9879211697393515,0.9718574108818011,0.9798234552332913
0.8499999999999996,0.9685114503816794,0.9879057924888606,0.9706066291432145,0.979179810725552
0.8599999999999995,0.9642175572519084,0.9884615384615385,0.9643527204502814,0.976258309591643
0.8699999999999996,0.9599236641221374,0.988394584139265,0.9587242026266416,0.9733333333333334
0.8799999999999996,0.950381679389313,0.9888816219751472,0.9455909943714822,0.9667519181585678
0.8899999999999996,0.9398854961832062,0.9893687707641196,0.9312070043777361,0.9594072164948454
0.8999999999999996,0.9336832061068703,0.9892761394101877,0.9230769230769231,0.955030734390165
