listing_id,room_type,property_type,accommodates,bedrooms,beds,bathrooms,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,neighbourhood_name,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_history,available_rate_history,avg_minimum_nights_calendar_history,avg_maximum_nights_calendar_history,available_days_last_30d,available_rate_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version,has_reviews
1369429429559300247,Entire home/apt,Entire home,5,3.0,3.0,1.0,180.0,5,365,True,False,1,Geuzenveld - Slotermeer,2.0,2.0,100.0,161.0,359.0,91,1.0,3.5714285714285716,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1369443627129749321,Entire home/apt,Entire villa,2,1.0,1.0,1.0,213.0,2,6,False,False,2,Zuid,0.0,0.0,,,424.0,42,0.46153846153846156,2.0,6.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1369499700651408271,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,159.0,2,365,False,False,1,Oostelijk Havengebied - Indische Buurt,0.0,0.0,,,424.0,26,0.2857142857142857,2.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1369688428681972980,Entire home/apt,Entire condo,2,1.0,1.0,1.0,168.0,3,30,False,False,1,Bos en Lommer,0.0,0.0,,,424.0,91,1.0,3.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1369727329178419780,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,180.0,14,30,True,False,1,Westerpark,1.0,1.0,638.0,638.0,449.0,42,0.46153846153846156,14.0,30.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1370138880849773552,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,382.0,1,365,False,False,3,Centrum-West,1.0,1.0,283.0,283.0,436.0,0,0.0,1.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1370146636721017881,Entire home/apt,Entire home,4,1.0,,1.0,,2,365,False,True,1,Centrum-West,9.0,9.0,207.55555555555554,695.0,397.0,0,0.0,2.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1370240299487808682,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,158.0,3,4,False,False,1,Bos en Lommer,2.0,2.0,634.0,867.0,371.0,0,0.0,3.0,4.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1370437706415503260,Entire home/apt,Entire rental unit,4,1.0,,1.0,,3,365,False,False,1,Slotervaart,5.0,5.0,269.4,469.0,427.0,0,0.0,3.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1370921735375526012,Entire home/apt,Entire rental unit,2,1.0,,1.0,,3,30,False,False,1,Westerpark,1.0,1.0,526.0,526.0,435.0,0,0.0,3.0,30.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1371081644940734520,Entire home/apt,Boat,2,1.0,1.0,1.0,323.0,1,1125,True,True,2,Centrum-Oost,14.0,14.0,365.2857142857143,1003.0,341.0,87,0.9560439560439561,1.0,365.0,26,0.8666666666666667,30,30,1.0,0,2026-08-11,v1_student,1
1371789365914699761,Entire home/apt,Entire home,4,2.0,,2.0,,2,365,False,False,1,Centrum-West,6.0,6.0,339.8333333333333,658.0,418.0,0,0.0,2.2857142857142856,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1372441363147540552,Entire home/apt,Entire home,4,4.0,,2.0,,3,19,False,False,1,Slotervaart,1.0,1.0,265.0,265.0,368.0,0,0.0,3.0,19.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1373049712518317700,Entire home/apt,Entire condo,3,2.0,4.0,1.0,160.0,2,30,False,False,2,De Pijp - Rivierenbuurt,2.0,2.0,36.0,44.0,450.0,0,0.0,2.0,30.0,0,0.0,30,13,0.43333333333333335,0,2026-08-11,v1_student,1
1373220787327792220,Entire home/apt,Entire home,4,3.0,2.0,1.5,1000.0,3,1125,False,False,1,Centrum-West,4.0,4.0,508.5,943.0,357.0,91,1.0,3.0,1125.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1373226229772343447,Entire home/apt,Entire rental unit,4,1.0,1.0,0.5,180.0,2,365,False,False,1,Bos en Lommer,4.0,4.0,149.0,422.0,415.0,91,1.0,2.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,1
1373311014737032522,Entire home/apt,Entire rental unit,2,1.0,,1.0,,2,1125,False,True,2,De Pijp - Rivierenbuurt,16.0,16.0,251.5625,718.0,368.0,26,0.2857142857142857,2.0,1125.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1373784741107463085,Entire home/apt,Entire home,4,3.0,,2.5,,2,365,False,False,1,Oud-Noord,3.0,3.0,117.33333333333333,223.0,458.0,0,0.0,2.4285714285714284,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
1373814369824566924,Entire home/apt,Entire home,4,4.0,4.0,3.0,472.0,3,1125,False,False,1,Watergraafsmeer,0.0,0.0,,,424.0,0,0.0,3.0,1125.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,0
1373825440139483339,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,171.0,2,365,False,False,2,Bos en Lommer,0.0,0.0,,,424.0,91,1.0,2.0,365.0,30,1.0,30,30,1.0,0,2026-08-11,v1_student,0
1373870355582342233,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,150.0,3,16,False,True,1,Oud-Oost,2.0,2.0,257.0,469.0,497.0,22,0.24175824175824176,3.0,16.0,22,0.7333333333333333,30,30,1.0,0,2026-08-11,v1_student,1
1374016689436759225,Entire home/apt,Entire rental unit,2,1.0,,1.0,,1,365,False,False,1,Bos en Lommer,2.0,2.0,125.0,154.0,367.0,0,0.0,1.0,365.0,0,0.0,30,0,0.0,1,2026-08-11,v1_student,1
